"payment_id","order_id","payment_method","amount","payment_status","payment_date"
1,4096,Credit Card,219.98,Successful,"2025-12-14 12:00:00"
2,4097,Debit Card,899.93,Successful,"2025-08-06 12:00:00"
3,4098,PayPal,679.96,Successful,"2025-03-29 12:00:00"
4,4099,Bank Transfer,1249.95,Successful,"2024-11-19 12:00:00"
5,4100,Credit Card,449.99,Successful,"2024-07-12 12:00:00"
6,4101,Debit Card,349.99,Successful,"2025-12-27 12:00:00"
7,4102,PayPal,1849.98,Successful,"2025-08-19 12:00:00"
8,4103,Bank Transfer,1499.98,Successful,"2025-04-11 12:00:00"
9,4104,Credit Card,1299.97,Successful,"2024-12-02 12:00:00"
10,4105,Debit Card,929.98,Successful,"2024-07-25 12:00:00"
11,4106,PayPal,2379.98,Successful,"2026-01-09 12:00:00"
12,4107,Bank Transfer,5299.96,Successful,"2025-09-01 12:00:00"
13,4108,Credit Card,4149.96,Successful,"2025-04-24 12:00:00"
14,4109,Debit Card,6449.95,Successful,"2024-12-15 12:00:00"
15,4110,PayPal,899.99,Successful,"2024-08-07 12:00:00"
16,4111,Bank Transfer,899.99,Successful,"2026-01-22 12:00:00"
17,4112,Credit Card,2199.98,Successful,"2025-09-14 12:00:00"
18,4113,Debit Card,89.97,Successful,"2025-05-07 12:00:00"
19,4114,PayPal,259.96,Successful,"2024-12-28 12:00:00"
20,4115,Bank Transfer,319.98,Successful,"2024-08-20 12:00:00"
21,4116,Credit Card,459.97,Successful,"2026-02-04 12:00:00"
22,4117,Debit Card,279.96,Successful,"2025-09-27 12:00:00"
23,4118,PayPal,639.95,Successful,"2025-05-20 12:00:00"
24,4119,Bank Transfer,739.94,Successful,"2025-01-10 12:00:00"
25,4120,Credit Card,299.97,Successful,"2024-09-02 12:00:00"
26,4121,Debit Card,74.97,Successful,"2026-02-17 12:00:00"
27,4122,PayPal,139.97,Pending,"2025-10-10 12:00:00"
28,4123,Bank Transfer,219.98,Successful,"2025-06-02 12:00:00"
29,4124,Credit Card,819.95,Successful,"2025-01-23 12:00:00"
30,4125,Debit Card,679.97,Successful,"2024-09-15 12:00:00"
31,4126,PayPal,749.97,Successful,"2026-03-02 12:00:00"
32,4127,Bank Transfer,1849.96,Successful,"2025-10-23 12:00:00"
33,4128,Credit Card,1499.97,Successful,"2025-06-15 12:00:00"
34,4129,Debit Card,3249.95,Successful,"2025-02-05 12:00:00"
35,4130,PayPal,499.99,Successful,"2024-09-28 12:00:00"
36,4131,Bank Transfer,1399.98,Successful,"2026-03-15 12:00:00"
37,4132,Credit Card,929.98,Successful,"2025-11-05 12:00:00"
38,4133,Debit Card,2379.98,Successful,"2025-06-28 12:00:00"
39,4134,PayPal,2449.98,Pending,"2025-02-18 12:00:00"
40,4135,Bank Transfer,3499.97,Successful,"2024-10-11 12:00:00"
41,4136,Credit Card,2199.98,Successful,"2026-03-28 12:00:00"
42,4137,Debit Card,4399.95,Successful,"2025-11-18 12:00:00"
43,4138,PayPal,4149.96,Successful,"2025-07-11 12:00:00"
44,4139,Bank Transfer,6449.95,Successful,"2025-03-03 12:00:00"
45,4140,Credit Card,39.98,Successful,"2024-10-24 12:00:00"
46,4141,Debit Card,139.98,Failed,"2026-04-10 12:00:00"
47,4142,PayPal,319.98,Failed,"2025-12-01 12:00:00"
48,4143,Bank Transfer,279.98,Failed,"2025-07-24 12:00:00"
49,4144,Credit Card,259.97,Failed,"2025-03-16 12:00:00"
50,4145,Debit Card,439.97,Failed,"2024-11-06 12:00:00"
51,4146,PayPal,439.97,Successful,"2025-08-06 12:00:00"
52,4147,Bank Transfer,299.96,Successful,"2025-03-29 12:00:00"
53,4148,Credit Card,254.95,Successful,"2024-11-19 12:00:00"
54,4149,Debit Card,684.92,Successful,"2024-07-12 12:00:00"
55,4150,PayPal,119.99,Successful,"2024-03-04 12:00:00"
56,4151,Bank Transfer,239.98,Successful,"2025-08-19 12:00:00"
57,4152,Credit Card,679.97,Successful,"2025-04-11 12:00:00"
58,4153,Debit Card,999.96,Successful,"2024-12-02 12:00:00"
59,4154,PayPal,1799.97,Successful,"2024-07-25 12:00:00"
60,4155,Bank Transfer,1049.98,Successful,"2024-03-17 12:00:00"
61,4156,Credit Card,1849.98,Successful,"2025-09-01 12:00:00"
62,4157,Debit Card,4099.96,Successful,"2025-04-24 12:00:00"
63,4158,PayPal,1429.96,Successful,"2024-12-15 12:00:00"
64,4159,Bank Transfer,2259.95,Successful,"2024-08-07 12:00:00"
65,4160,Credit Card,2199.99,Successful,"2024-03-30 12:00:00"
66,4161,Debit Card,649.99,Successful,"2025-09-14 12:00:00"
67,4162,PayPal,2199.98,Successful,"2025-05-07 12:00:00"
68,4163,Bank Transfer,2199.98,Successful,"2024-12-28 12:00:00"
69,4164,Credit Card,3099.97,Successful,"2024-08-20 12:00:00"
70,4165,Debit Card,3499.97,Successful,"2024-04-12 12:00:00"
71,4166,PayPal,2199.98,Successful,"2025-09-27 12:00:00"
72,4167,Bank Transfer,1969.94,Successful,"2025-05-20 12:00:00"
73,4168,Credit Card,339.94,Successful,"2025-01-10 12:00:00"
74,4169,Debit Card,439.96,Successful,"2024-09-02 12:00:00"
75,4170,PayPal,99.99,Successful,"2024-04-25 12:00:00"
76,4171,Bank Transfer,199.98,Pending,"2025-10-10 12:00:00"
77,4172,Credit Card,439.97,Successful,"2025-06-02 12:00:00"
78,4173,Debit Card,439.97,Successful,"2025-01-23 12:00:00"
79,4174,PayPal,239.96,Successful,"2024-09-15 12:00:00"
80,4175,Bank Transfer,129.97,Successful,"2024-05-08 12:00:00"
81,4176,Credit Card,294.96,Successful,"2025-10-23 12:00:00"
82,4177,Debit Card,549.95,Successful,"2025-06-15 12:00:00"
83,4178,PayPal,739.95,Successful,"2025-02-05 12:00:00"
84,4179,Bank Transfer,1029.95,Successful,"2024-09-28 12:00:00"
85,4180,Credit Card,499.98,Successful,"2024-05-21 12:00:00"
86,4181,Debit Card,899.98,Successful,"2025-11-05 12:00:00"
87,4182,PayPal,1399.97,Successful,"2025-06-28 12:00:00"
88,4183,Bank Transfer,1849.98,Pending,"2025-02-18 12:00:00"
89,4184,Credit Card,1499.98,Successful,"2024-10-11 12:00:00"
90,4185,Debit Card,429.98,Successful,"2024-06-03 12:00:00"
91,4186,PayPal,1259.97,Successful,"2025-11-18 12:00:00"
92,4187,Bank Transfer,2709.97,Successful,"2025-07-11 12:00:00"
93,4188,Credit Card,6849.96,Successful,"2025-03-03 12:00:00"
94,4189,Debit Card,6449.95,Successful,"2024-10-24 12:00:00"
95,4190,PayPal,899.99,Successful,"2024-06-16 12:00:00"
