"return_id","order_id","order_item_id","return_date","quantity","reason","refund_amount"
1,6437,5151,"2024-07-03",1,Late delivery,19.99
2,7453,7387,"2025-03-21",1,Wrong item,549.99
3,6437,5152,"2024-06-10",1,Defective,49.99
4,7453,7388,"2025-03-28",1,Not as expected,349.99
5,4405,681,"2025-03-19",1,Wrong item,899.99
6,6437,5153,"2024-06-17",1,Damaged during shipping,899.99
7,7454,7389,"2024-10-26",1,Changed mind,499.99
8,4405,682,"2025-02-24",1,Not as expected,1299.99
9,6438,5154,"2024-02-15",1,Wrong item,69.99
10,7454,7390,"2024-11-02",1,Compatibility issue,999.99
11,4406,683,"2026-08-18",1,Changed mind,899.99
12,5422,2919,"2025-05-06",1,Defective,299.99
13,6438,5155,"2024-02-22",1,Not as expected,19.99
14,7455,7391,"2024-07-02",1,Late delivery,299.99
15,4406,684,"2026-08-25",1,Compatibility issue,1299.99
16,5422,2920,"2025-05-13",1,Damaged during shipping,79.99
17,6438,5156,"2024-01-30",1,Changed mind,59.99
18,7455,7392,"2024-07-09",1,Defective,129.99
19,8471,9628,"2025-01-19",1,Not as expected,69.99
20,4407,685,"2026-04-24",1,Late delivery,899.99
21,5423,2921,"2025-01-10",1,Wrong item,249.99
22,6439,5157,"2026-06-15",1,Compatibility issue,199.99
23,7456,7393,"2025-12-01",1,Damaged during shipping,599.99
24,8472,9629,"2024-09-18",1,Changed mind,79.99
25,4407,686,"2026-04-01",1,Defective,1299.99
26,5423,2922,"2025-01-17",1,Not as expected,149.99
27,6439,5158,"2026-06-22",1,Late delivery,49.99
28,7456,7394,"2025-12-08",1,Wrong item,699.99
29,8472,9630,"2024-08-26",1,Compatibility issue,99.99
30,4407,687,"2026-04-08",1,Damaged during shipping,649.99
31,6439,5159,"2026-06-29",1,Defective,69.99
32,6439,5160,"2026-06-06",2,Damaged during shipping,39.98
33,7457,7395,"2025-08-07",1,Not as expected,179.99
34,4408,688,"2025-12-06",1,Wrong item,899.99
35,7457,7396,"2025-08-14",1,Changed mind,329.99
36,4408,689,"2025-12-13",1,Not as expected,1299.99
37,6440,5161,"2026-02-03",1,Wrong item,179.99
38,5425,2925,"2024-04-23",1,Late delivery,699.99
39,7457,7397,"2025-08-21",1,Compatibility issue,599.99
40,4408,690,"2025-11-20",1,Changed mind,649.99
41,8474,9633,"2026-09-16",1,Damaged during shipping,99.99
42,5425,2926,"2024-04-30",1,Defective,449.99
43,7458,7398,"2025-03-21",1,Late delivery,649.99
44,8474,9634,"2026-09-17",1,Wrong item,89.99
45,4409,691,"2025-07-20",1,Compatibility issue,899.99
46,5426,2927,"2025-10-22",1,Damaged during shipping,1299.99
47,7458,7399,"2025-03-28",1,Defective,2199.99
48,4409,692,"2025-07-27",1,Late delivery,1299.99
49,8475,9635,"2026-04-23",1,Not as expected,119.99
50,5426,2928,"2025-09-29",1,Wrong item,549.99
51,7458,7400,"2025-04-04",1,Damaged during shipping,179.99
52,4409,693,"2025-08-03",1,Defective,649.99
53,8475,9636,"2026-04-30",1,Changed mind,229.99
54,4409,694,"2025-08-10",1,Damaged during shipping,1799.99
55,5427,2929,"2025-05-29",1,Not as expected,499.99
56,7459,7401,"2024-12-02",1,Wrong item,899.99
57,8476,9637,"2025-02-04",1,Compatibility issue,299.99
58,5427,2930,"2025-06-05",1,Changed mind,999.99
59,7459,7402,"2024-11-09",1,Not as expected,1299.99
60,4410,695,"2025-03-10",1,Wrong item,19.99
61,8476,9638,"2025-02-11",1,Late delivery,79.99
62,5427,2931,"2025-06-12",1,Compatibility issue,1299.99
63,7459,7403,"2024-11-16",1,Changed mind,649.99
64,4411,696,"2026-09-01",1,Not as expected,69.99
65,7459,7404,"2024-11-23",1,Compatibility issue,1799.99
66,8477,9639,"2024-09-11",1,Defective,249.99
67,5428,2932,"2025-01-10",1,Late delivery,299.99
68,8477,9640,"2024-09-18",1,Damaged during shipping,149.99
69,4412,697,"2026-05-01",1,Changed mind,199.99
70,5428,2933,"2025-01-17",1,Defective,129.99
71,7460,7405,"2024-07-23",1,Late delivery,899.99
72,8477,9641,"2024-09-25",1,Wrong item,299.99
73,4412,698,"2026-05-08",1,Compatibility issue,49.99
74,5428,2934,"2025-01-24",1,Damaged during shipping,499.99
75,7461,7406,"2025-12-15",1,Defective,899.99
76,8478,9642,"2024-05-25",1,Not as expected,899.99
77,5429,2935,"2024-09-23",1,Wrong item,599.99
78,6446,5171,"2024-03-11",1,Compatibility issue,24.99
79,8478,9643,"2024-05-02",1,Changed mind,249.99
80,5429,2936,"2024-08-31",1,Not as expected,699.99
81,6446,5172,"2024-03-18",1,Late delivery,149.99
82,8478,9644,"2024-05-09",1,Compatibility issue,249.99
83,5429,2937,"2024-09-07",1,Changed mind,299.99
84,4414,701,"2025-08-12",1,Damaged during shipping,99.99
85,5429,2938,"2024-09-14",1,Compatibility issue,129.99
86,6447,5173,"2026-07-03",1,Defective,99.99
87,7463,7409,"2025-04-20",1,Not as expected,899.99
88,8479,9645,"2026-09-17",1,Late delivery,699.99
89,4414,702,"2025-08-19",1,Wrong item,59.99
90,6447,5174,"2026-07-10",1,Damaged during shipping,89.99
91,7463,7410,"2025-03-28",1,Changed mind,1299.99
92,8479,9646,"2026-09-17",1,Defective,449.99
93,5430,2939,"2024-05-14",1,Late delivery,179.99
94,4415,703,"2025-03-19",1,Not as expected,79.99
95,6447,5175,"2026-07-17",1,Wrong item,24.99
96,8479,9647,"2026-09-17",1,Damaged during shipping,899.99
97,7464,7411,"2024-11-25",1,Compatibility issue,19.99
98,4415,704,"2025-03-26",1,Changed mind,179.99
99,5431,2940,"2025-10-06",1,Defective,649.99
100,8479,9648,"2026-09-14",1,Wrong item,249.99
101,6448,5176,"2026-03-16",1,Not as expected,119.99
102,7464,7412,"2024-12-02",1,Late delivery,49.99
103,5432,2941,"2025-06-05",1,Damaged during shipping,899.99
104,6448,5177,"2026-03-23",1,Changed mind,229.99
105,8480,9649,"2026-05-14",1,Not as expected,549.99
106,5432,2942,"2025-06-12",1,Wrong item,1299.99
107,6448,5178,"2026-02-28",1,Compatibility issue,39.99
108,8481,9650,"2025-02-18",1,Changed mind,499.99
109,5433,2943,"2025-02-09",1,Not as expected,899.99
110,6449,5179,"2025-10-28",1,Late delivery,299.99
111,5433,2944,"2025-02-16",1,Changed mind,1299.99
112,6449,5180,"2025-11-04",1,Defective,79.99
113,6449,5181,"2025-11-11",1,Damaged during shipping,119.99
114,5434,2945,"2024-09-16",1,Compatibility issue,899.99
115,6449,5182,"2025-10-19",1,Wrong item,229.99
116,8483,9653,"2024-05-25",1,Defective,599.99
117,5434,2946,"2024-09-23",1,Late delivery,1299.99
118,8483,9654,"2024-06-01",1,Damaged during shipping,699.99
119,6450,5183,"2025-06-18",1,Not as expected,249.99
120,5435,2947,"2024-05-23",1,Defective,899.99
121,8484,9655,"2024-01-30",1,Wrong item,179.99
122,5435,2948,"2024-05-30",1,Damaged during shipping,1299.99
123,6451,5184,"2024-03-25",1,Changed mind,899.99
124,8484,9656,"2024-01-07",1,Not as expected,329.99
125,5436,2949,"2025-10-22",1,Wrong item,899.99
126,6452,5185,"2026-08-09",1,Compatibility issue,699.99
127,5436,2950,"2025-10-29",1,Not as expected,1299.99
128,6452,5186,"2026-07-17",1,Late delivery,449.99
129,5437,2951,"2025-06-28",1,Changed mind,19.99
130,6453,5187,"2026-03-16",1,Defective,549.99
131,8486,9659,"2025-03-06",1,Late delivery,1299.99
132,5437,2952,"2025-07-05",1,Compatibility issue,49.99
133,6453,5188,"2026-03-23",1,Damaged during shipping,349.99
134,8486,9660,"2025-02-11",1,Defective,649.99
135,5437,2953,"2025-06-12",1,Late delivery,899.99
136,4421,718,"2026-09-17",1,Changed mind,119.99
137,8487,9661,"2024-10-11",1,Damaged during shipping,899.99
138,5438,2954,"2025-02-09",1,Defective,69.99
139,8487,9662,"2024-10-18",1,Wrong item,1299.99
140,5438,2955,"2025-02-16",1,Damaged during shipping,19.99
141,6455,5191,"2025-06-27",1,Changed mind,299.99
142,8487,9663,"2024-10-25",1,Not as expected,649.99
143,5438,2956,"2025-02-23",1,Wrong item,59.99
144,6455,5192,"2025-07-04",1,Compatibility issue,129.99
145,8488,9664,"2024-06-24",1,Changed mind,899.99
146,4423,721,"2026-01-05",1,Defective,249.99
147,5439,2957,"2024-10-23",1,Not as expected,199.99
148,6456,5193,"2024-04-10",1,Late delivery,599.99
149,7472,7429,"2025-09-13",1,Wrong item,79.99
150,8488,9665,"2024-06-01",1,Compatibility issue,1299.99
151,4423,722,"2026-01-12",1,Damaged during shipping,149.99
152,5439,2958,"2024-09-30",1,Changed mind,49.99
153,6456,5194,"2024-04-17",1,Defective,699.99
154,7472,7430,"2025-09-20",1,Not as expected,99.99
155,8488,9666,"2024-06-08",1,Late delivery,649.99
156,5439,2959,"2024-10-07",1,Compatibility issue,69.99
157,4424,723,"2025-09-11",1,Wrong item,899.99
158,5439,2960,"2024-10-14",2,Late delivery,39.98
159,6457,5195,"2026-08-02",1,Damaged during shipping,179.99
160,7473,7431,"2025-05-20",1,Changed mind,24.99
161,8489,9667,"2024-02-06",1,Defective,899.99
162,4424,724,"2025-09-18",1,Not as expected,249.99
163,6457,5196,"2026-08-09",1,Wrong item,329.99
164,7473,7432,"2025-04-27",1,Compatibility issue,149.99
165,8489,9668,"2024-02-13",1,Damaged during shipping,1299.99
166,5440,2961,"2024-06-13",1,Defective,179.99
167,6457,5197,"2026-08-16",1,Not as expected,599.99
168,8489,9669,"2024-01-21",1,Wrong item,649.99
169,7474,7433,"2024-12-25",1,Late delivery,99.99
170,8489,9670,"2024-01-28",1,Not as expected,1799.99
171,6458,5198,"2026-04-15",1,Changed mind,649.99
172,7474,7434,"2025-01-01",1,Defective,89.99
173,4426,727,"2024-01-31",1,Late delivery,1299.99
174,6458,5199,"2026-03-23",1,Compatibility issue,2199.99
175,8490,9671,"2026-06-13",1,Changed mind,899.99
176,7475,7435,"2024-08-31",1,Damaged during shipping,119.99
177,4426,728,"2024-02-07",1,Defective,549.99
178,6458,5200,"2026-03-30",1,Late delivery,179.99
179,7475,7436,"2024-08-08",1,Wrong item,229.99
180,4427,729,"2026-05-24",1,Damaged during shipping,499.99
181,6459,5201,"2025-11-27",1,Defective,899.99
182,7476,7437,"2026-01-30",1,Not as expected,299.99
183,4427,730,"2026-05-31",1,Wrong item,999.99
184,6459,5202,"2025-12-04",1,Damaged during shipping,1299.99
185,7476,7438,"2026-02-06",1,Changed mind,79.99
186,4427,731,"2026-06-07",1,Not as expected,1299.99
187,6459,5203,"2025-11-11",1,Wrong item,649.99
188,6459,5204,"2025-11-18",1,Not as expected,1799.99
189,7477,7439,"2025-10-06",1,Compatibility issue,249.99
190,4428,732,"2026-02-04",1,Changed mind,299.99
191,7477,7440,"2025-09-13",1,Late delivery,149.99
192,4428,733,"2026-01-12",1,Compatibility issue,129.99
193,6460,5205,"2025-07-18",1,Changed mind,899.99
194,7477,7441,"2025-09-20",1,Defective,299.99
195,4428,734,"2026-01-19",1,Late delivery,499.99
196,6461,5206,"2024-04-24",1,Compatibility issue,899.99
197,7478,7442,"2025-05-20",1,Damaged during shipping,899.99
198,4429,735,"2025-09-18",1,Defective,599.99
199,5446,2971,"2025-03-06",1,Not as expected,24.99
200,6462,5207,"2026-09-08",1,Late delivery,899.99
201,7478,7443,"2025-05-27",1,Wrong item,249.99
202,4429,736,"2025-09-25",1,Damaged during shipping,699.99
203,5446,2972,"2025-03-13",1,Changed mind,149.99
204,6462,5208,"2026-08-16",1,Defective,1299.99
205,7478,7444,"2025-06-03",1,Not as expected,249.99
206,4429,737,"2025-10-02",1,Wrong item,299.99
207,4429,738,"2025-09-09",1,Not as expected,129.99
208,5447,2973,"2024-11-10",1,Compatibility issue,99.99
209,7479,7445,"2025-01-01",1,Changed mind,699.99
210,8496,9681,"2024-07-19",1,Defective,179.99
211,5447,2974,"2024-11-17",1,Late delivery,89.99
212,7479,7446,"2025-01-08",1,Compatibility issue,449.99
213,4430,739,"2025-05-09",1,Changed mind,179.99
